id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y1,Y2,Y3
29,0.0004,0.0008,0.0007,0.0119,0.0017,0.0061,0.018,0.0024,0.0016,0.0274,0.0023,0.0037,0.0005,0.001,0.0015,0.0267,0.0042,0.0091,2,2,4
30,0.0003,0.0002,0.0007,0.0119,0.003,0.0072,0.001,0.0033,0.0013,0.0151,0.0033,0.0074,0.001,0.0022,0.001,0.0306,0.0089,0.0077,4,1,2
31,0.002,0.0007,0.0008,0.0065,0.0018,0.0067,0.0004,0.001,0.0024,0.0128,0.0021,0.0075,0.0006,0.0019,0.0007,0.0219,0.0081,0.0037,1,1,2
32,0.0011,0.0017,0.0003,0.0226,0.0034,0.0092,0.0012,0.0006,0.0013,0.0332,0.0065,0.0108,0.0022,0.002,0.0014,0.0295,0.01,0.0033,3,3,3
33,0.0017,0.0105,0.0011,0.011,0.0018,0.0037,0.0007,0.002,0.0004,0.0141,0.0016,0.0031,0.0075,0.001,0.0012,0.018,0.0028,0.0035,3,1,3
34,0.0003,0.0026,0.0023,0.012,0.0039,0.0117,0.0021,0.0003,0.0014,0.019,0.0047,0.0102,0.0007,0.0009,0.0003,0.0158,0.0041,0.0063,1,1,3
35,0.0011,0.0004,0.0012,0.0226,0.0061,0.0104,0.0006,0.0057,0.0008,0.0303,0.003,0.013,0.0004,0.01,0.0006,0.0159,0.0041,0.0067,4,4,3
36,0.0083,0.0022,0.001,0.0213,0.0026,0.0086,0.0036,0.0044,0.0011,0.0218,0.0023,0.0061,0.0015,0.0027,0.0008,0.0346,0.0111,0.0057,3,1,3
37,0.0061,0.0027,0.0005,0.0142,0.0039,0.0062,0.0001,0.0005,0.001,0.0111,0.0029,0.0092,0.0041,0.0029,0.0023,0.0228,0.0044,0.0101,1,1,3
38,0.0092,0.0082,0.0012,0.0201,0.0045,0.0105,0.0018,0.0005,0.0015,0.0195,0.0053,0.0105,0.0068,0.0031,0.0002,0.0317,0.0082,0.0074,3,4,4
39,0.0002,0.0009,0.0014,0.0158,0.0045,0.0123,0.0017,0.0012,0.0006,0.0219,0.0058,0.0098,0.0017,0.0011,0.0005,0.0528,0.0133,0.0273,1,2,4
40,0.0005,0.001,0.0033,0.0095,0.0012,0.0027,0.0073,0.0023,0.0013,0.0128,0.0037,0.0054,0.0057,0.0056,0.0015,0.0341,0.009,0.0074,1,2,4
41,0.0006,0.024,0.0021,0.0141,0.0016,0.0035,0.0044,0.0053,0.0014,0.0202,0.0066,0.0076,0.0062,0.0091,0.0011,0.0584,0.0095,0.0103,3,1,3
42,0.0001,0.0023,0.0007,0.0215,0.0029,0.0056,0.0019,0.0018,0.0004,0.0165,0.0018,0.0033,0.0128,0.0035,0.0013,0.0294,0.0111,0.0189,4,2,4
43,0.0002,0.0017,0.0009,0.0216,0.0065,0.0032,0.0002,0.0002,0.0015,0.0265,0.0046,0.0095,0.0045,0.0004,0.0009,0.025,0.0061,0.0079,1,1,3
44,0.0019,0.0022,0.00106,0.0107,0.0045,0.0075,0.0014,0.001,0.0013,0.0114,0.0036,0.0096,0.0004,0.022,0.0019,0.0459,0.0139,0.0111,4,1,3
45,0.0019,0.0066,0.0012,0.0226,0.0038,0.0073,0.004,0.0004,0.0017,0.0382,0.0102,0.0111,0.0005,0.0015,0.003,0.0342,0.0086,0.0127,4,2,3
46,0.0061,0.0014,0.0026,0.0205,0.0016,0.0073,0.0036,0.0037,0.0008,0.0134345,0.00201870376128675,0.00474327,0.0022,0.0047,0.00057,0.0289,0.0109,0.0043,1,1,4
47,0.0004,0.0009,0.00094,0.0197,0.0064,0.0057,0.0015,0.0002,0.0018,0.0198,0.0041,0.0148,0.0002,0.0035,0.0013,0.0726,0.0151,0.0144,3,2,3
48,0.003,0.0037,0.0011,0.0194,0.0032,0.005,0.0017,0.0034,0.0035,0.0162,0.004,0.0097,0.014,0.0014,0.0011,0.0254,0.006,0.0066,3,3,4
49,0.0007,0.0045,0.0032,0.0635,0.0098,0.0141,0.0197,0.0065,0.0008,0.0486,0.0044,0.0102,0.0034,0.0019,0.002,0.051,0.0056,0.0094,3,4,3
50,0.005,0.0012,0.0017,0.0134,0.0042,0.0134,0.006,0.0029,0.0003,0.0239,0.0023,0.0165,0.0031,0.0015,0.0005,0.0294,0.0029,0.0125,3,2,4
51,0.0042,0.0047,0.0018,0.013,0.0041,0.0117,0.0011,0.0009,0.001,0.0187,0.0042,0.0087,0.0004,0.0011,0.0009,0.0181,0.0044,0.0187,4,2,3
52,0.0023,0.0045,0.0006,0.0164,0.0019,0.004,0.003,0.0041,0.0017,0.0195,0.005,0.0073,0.0025,0.0045,0.0008,0.0262,0.0068,0.017,1,1,3
53,0.0138,0.0001,0.0019,0.0152,0.0046,0.0053,0.002,0.0017,0.0008,0.0213,0.0038,0.012,0.0049,0.0015,0.0021,0.0219,0.008,0.0076,2,1,4
54,0.007,0.0018,0.0011,0.0418,0.0068,0.0154,0.0209,0.0155,0.0022,0.0529,0.0104,0.0199,0.0288,0.0074,0.0006,0.09599947,0.0151098521093579,0.00794379,4,4,4
55,0.0067,0.0097,0.0008,0.0522,0.0112,0.0116,0.0014,0.0023,0.0011,0.016,0.002,0.0038,0.0025,0.0006,0.0025,0.0823,0.0126,0.0251,1,2,4
56,0.004,0.005,0.0025,0.0162,0.0043,0.008,0.0132,0.0008,0.00065,0.0136,0.0037,0.0055,0.0041,0.0017,0.0018,0.0307,0.0073,0.0068,1,1,4
57,0.0041,0.0038,0.0007,0.025,0.0044,0.0043,0.0029,0.0021,0.001,0.022,0.0012,0.0029,0.0056,0.008,0.0013,0.0224,0.0099,0.0076,4,4,3
58,0.0007,0.0043,0.0012,0.0141,0.0017,0.0034,0.0012,0.0016,0.0019,0.0231,0.0054,0.0049,0.0011,0.0007,0.0009,0.0255,0.0073,0.0134,4,2,3
59,0.0001,0.0014,0.0017,0.0091,0.0027,0.008,0.0001,0.0011,0.0003,0.0209,0.0043,0.0147,0.0005,0.0001,0.0009,0.0263,0.0094,0.0036,1,1,3
60,0.0009,0.0029,0.0012,0.0196,0.0021,0.0083,0.0003,0.0032,0.0017,0.0207,0.0068,0.0125,0.0008,0.0053,0.0027,0.0127,0.002,0.0042,4,1,3
61,0.0019,0.0023,0.0013,0.0105,0.0015,0.0031,0.0093,0.0094,0.0011,0.0267,0.003,0.0028,0.0006,0.0003,0.0012,0.0289,0.0055,0.0156,3,4,4
62,0.001,0.0018,0.001658,0.0056,0.0017,0.0048,0.0045,0.0002,0.0012,0.0189,0.0036,0.006,0.0059,0.0006,0.0012,0.038,0.0058,0.0114,1,2,4
63,0.0058,0.0015,0.0009,0.0163,0.0061,0.0035,0.005,0.0027,0.0023,0.0255,0.0069,0.0127,0.0007,0.0001,0.0007,0.0214,0.0055,0.0105,4,1,3
64,0.0002,0.0016,0.001802,0.0115,0.0044,0.0053,0.0016,0.0033,0.0004,0.0097,0.0014,0.0031,0.0042,0.0001,0.0034,0.0201,0.0027,0.0113,1,1,3
65,0.0025,0.0021,0.0008,0.0214,0.002,0.0039,0.0126,0.0143,0.0006,0.0216,0.004,0.0055,0.0011,0.003,0.003,0.0275,0.0042,0.0113,1,1,3
66,0.0017,0.0016,0.0013,0.012,0.0016,0.0032,0.0005,0.0006,0.0009,0.0253,0.0031,0.0027,0.0007,0.0018,0.0003,0.016,0.0058,0.0065,1,1,4
67,0.0008,0.0083,0.0017,0.0158,0.0041,0.0082,0.0041,0.0013,0.0008,0.0581,0.0167,0.0147,0.002,0.0013,0.0009,0.0665,0.0251,0.0195,4,4,4
68,0.0027,0.0024,0.002,0.0675,0.0056,0.0125,0.014,0.002,0.0004,0.0171,0.0031,0.0042,0.0019,0.0016,0.0016,0.0162,0.0036,0.0045,2,1,4
69,0.0011,0.001,0.0022,0.0162,0.0041,0.0077,0.0027,0.0003,0.0025,0.0224,0.0049,0.0121,0.0021,0.0029,0.002139,0.0283,0.0126,0.0151,4,4,3
70,0.0067,0.0103,0.0021,0.0168,0.0043,0.0075,0.0058,0.0007,0.0005,0.0219,0.0053,0.0118,0.0023,0.0017,0.0008,0.0371,0.0078,0.0105,1,2,3
71,0.0021,0.0009,0.0005,0.0127,0.0029,0.0067,0.004,0.0008,0.0005,0.022,0.0033,0.0047,0.0027,0.003,0.0006,0.0501,0.0105,0.005,4,1,3
72,0.0003,0.0047,0.002,0.0116,0.0034,0.0098,0.0086,0.0017,0.0008,0.025,0.0066,0.0119,0.0008,0.0002,0.0013,0.006,0.0013,0.0033,1,1,3
73,0.0001,0.0033,0.0007,0.0082,0.002,0.008,0.0007,0.0028,0.001439,0.0262,0.0063,0.0112,0.0066,0.0013,0.0001,0.0179,0.0044,0.0182,1,1,3
74,0.0003,0.0005,0.0011,0.0168,0.003,0.0067,0.0004,0.0003,0.001,0.0211,0.0016,0.0035,0.0004,0.0003,0.0018,0.0198,0.0036,0.0033,4,4,4
75,0.0007,0.0025,0.0005,0.0123,0.0025,0.0093,0.0007,0.0009,0.0017,0.0096,0.0021,0.0031,0.0002,0.0005,0.0012,0.0015,0.0028,0.0066,3,1,3
76,0.0048,0.0051,0.0009,0.0639,0.0224,0.015,0.0028,0.0052,0.0006,0.0835,0.0203,0.0355,0.0043,0.0002,0.0016,0.0034,0.0203,0.022,4,4,4
77,0.0057,0.0001,0.0011,0.0608,0.0221,0.0159,0.0014,0.0013,0.002,0.0818,0.0297,0.0332,0.0041,0.0071,0.0019,0.1077,0.0237,0.0292,4,3,3
